N;Calculated Area;Relative Deviation
100;0.94999322148400011656;0.0057977087831616704386
600;0.9583264953566666966;0.014620495702312118896
1100;0.94431144384354559485;-0.00021782775262276310251
1600;0.9531181991862500702;0.0091062538778430741904
2100;0.9249933998660001544;-0.020670651974289907388
2600;0.96489696129473079278;0.021576923850103884445
3100;0.93991264825093556734;-0.0048750173287140175296
3600;0.94200716735602785246;-0.0026574620143576411363
4100;0.95731024244536588874;0.013544546078025472557
4600;0.94836279833500003456;0.0040715113424582170462
5100;0.93969917728835306026;-0.0051010279993184051012
5600;0.93637724720991077909;-0.0086180948436647124983
6100;0.94691947292440981077;0.0025434021326551739008
6600;0.953402288068272874;0.0094070307046323787398
7100;0.93696514542954945082;-0.0079956623157919487488
7600;0.94489457365401330335;0.00039955626026038422883
8100;0.95076482091665437402;0.0066146334978977646551
8600;0.94359791827939543118;-0.00097326722455854720352
9100;0.93529552415913197461;-0.0097633604533620948346
9600;0.95207653995216678933;0.0080034055129493113928
10100;0.94256753189449515862;-0.0020641805507348579864
10600;0.94480457926139627123;0.00030427541840748504676
11100;0.94537613731130643036;0.00090940792255124447939
11600;0.95182510496462935379;0.0077372007352162382177
12100;0.94152220754732240948;-0.0031709093247351814206
12600;0.9433464435141349913;-0.0012395141166370226768
13100;0.94665355065716794147;0.0022618590636546542089
13600;0.94889028817732357091;0.0046299869850387259315
14100;0.94219185870958876983;-0.0024619215241281954334
14600;0.93809262146721239528;-0.0068019560979540507478
15100;0.94693032943146371316;0.0025548963724805339066
15600;0.94871117934974369401;0.0044403569494461904085
16100;0.94292805450500005726;-0.0016824801265529802045
16600;0.94577638410265063573;0.0013331660047962491135
17100;0.94144065093047379911;-0.003257256739124411455
17600;0.94651313267922165817;0.0021131926549936373011
18100;0.94757611165905519801;0.0032386131298167237721
18600;0.94354165461483874289;-0.0010328359284388355377
19100;0.94259798629333513276;-0.0020319372000636125308
19600;0.93870503672281135898;-0.0061535663547692713224
20100;0.94383654899598523613;-0.00072061886606144165586
20600;0.94204424907633510511;-0.0026182020402027612882
21100;0.94655722704361144881;0.0021598772098625883958
21600;0.94704185365409720987;0.0026729717492957180344
22100;0.94784391555304081667;0.003522148356050420169
22600;0.95154188300015929425;0.0074373417504373139433
23100;0.93895433921111692843;-0.005889619343505353953
23600;0.94840424977099158088;0.0041153977180693425073
24100;0.94117585701292127975;-0.0035376051769353722594
24600;0.94613146042105700229;0.0017091002108723699852
25100;0.9433199623270039913;-0.0012675508612578017219
25600;0.94359678274970704148;-0.0009744694575145397596
26100;0.94108523906839092188;-0.0036335461993785606212
26600;0.93777526355039109163;-0.0071379562486755896572
27100;0.94358182811702218107;-0.0009903025550040461724
27600;0.94795519254775018059;0.0036399619822825306399
28100;0.9434986059035231909;-0.0010784134064966398054
28600;0.94837610015556306209;0.004085594538361487886
29100;0.9463849998071752756;0.0019775330037355592395
29600;0.9440811015067702705;-0.00046170085542498404954
30100;0.94343180650784730368;-0.0011491367312525299204
30600;0.94807330054274840947;0.0037650078753180865783
31100;0.94553183852644695495;0.0010742553360922170794
31600;0.94651223366377224;0.0021122408295924277773
32100;0.94173782867556399268;-0.0029426221834734293641
32600;0.94865120651984369271;0.0043768611964886735416
33100;0.94198723631328096229;-0.0026785638461129940291
33600;0.94757508397630663133;0.003237525078943845596
34100;0.94662081152966570663;0.0022271967748249835509
34600;0.94143114384893356039;-0.0032673222855032048664
35100;0.94440209328738178307;-0.00012185338054200232883
35600;0.94465618091386527322;0.00014715985741355961758
36100;0.9397786129281689993;-0.0050169261523622882618
36600;0.94159164208778700633;-0.0030973960615556721081
